"No.","Time","Source","Destination","Protocol","Length","Info"
"2187","19.054237139","23.248.57.27","10.74.18.53","TCP","54","5035  >  80 [SYN] Seq=0 Win=512 Len=0"
"2188","19.064407242","61.3.97.73","10.74.18.53","TCP","54","5036  >  80 [SYN] Seq=0 Win=512 Len=0"
"2189","19.074602959","248.34.140.2","10.74.18.53","TCP","54","5037  >  80 [SYN] Seq=0 Win=512 Len=0"
"2190","19.084742682","190.40.199.248","10.74.18.53","TCP","54","5038  >  80 [SYN] Seq=0 Win=512 Len=0"
"2191","19.094918202","50.179.122.248","10.74.18.53","TCP","54","5039  >  80 [SYN] Seq=0 Win=512 Len=0"
"2192","19.105099635","47.182.139.182","10.74.18.53","TCP","54","5040  >  80 [SYN] Seq=0 Win=512 Len=0"
"2193","19.115279259","187.222.127.215","10.74.18.53","TCP","54","5041  >  80 [SYN] Seq=0 Win=512 Len=0"
"2194","19.125457364","47.147.50.22","10.74.18.53","TCP","54","5042  >  80 [SYN] Seq=0 Win=512 Len=0"
"2195","19.135663400","89.144.50.119","10.74.18.53","TCP","54","5043  >  80 [SYN] Seq=0 Win=512 Len=0"
"2196","19.145837197","76.159.63.22","10.74.18.53","TCP","54","5044  >  80 [SYN] Seq=0 Win=512 Len=0"
"2197","19.155949479","103.26.87.7","10.74.18.53","TCP","54","5045  >  80 [SYN] Seq=0 Win=512 Len=0"
"2198","19.166571843","145.102.182.57","10.74.18.53","TCP","54","5046  >  80 [SYN] Seq=0 Win=512 Len=0"
"2199","19.176710725","164.121.100.3","10.74.18.53","TCP","54","5047  >  80 [SYN] Seq=0 Win=512 Len=0"
"2200","19.186883708","159.40.182.211","10.74.18.53","TCP","54","5048  >  80 [SYN] Seq=0 Win=512 Len=0"
"2201","19.194895626","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.25? Tell 10.74.16.1"
"2202","19.197056771","240.218.28.80","10.74.18.53","TCP","54","5049  >  80 [SYN] Seq=0 Win=512 Len=0"
"2203","19.207236008","122.97.41.60","10.74.18.53","TCP","54","5050  >  80 [SYN] Seq=0 Win=512 Len=0"
"2204","19.217428025","160.150.89.124","10.74.18.53","TCP","54","5051  >  80 [SYN] Seq=0 Win=512 Len=0"
"2205","19.227623881","159.23.182.116","10.74.18.53","TCP","54","5052  >  80 [SYN] Seq=0 Win=512 Len=0"
"2206","19.237798939","97.159.41.57","10.74.18.53","TCP","54","5053  >  80 [SYN] Seq=0 Win=512 Len=0"
"2207","19.247929442","222.87.255.113","10.74.18.53","TCP","54","5054  >  80 [SYN] Seq=0 Win=512 Len=0"
"2208","19.258070458","124.74.19.213","10.74.18.53","TCP","54","5055  >  80 [SYN] Seq=0 Win=512 Len=0"
"2209","19.268243134","72.196.187.31","10.74.18.53","TCP","54","5056  >  80 [SYN] Seq=0 Win=512 Len=0"
"2210","19.278469417","3.97.243.134","10.74.18.53","TCP","54","5057  >  80 [SYN] Seq=0 Win=512 Len=0"
"2211","19.288656092","233.1.222.142","10.74.18.53","TCP","54","5058  >  80 [SYN] Seq=0 Win=512 Len=0"
"2212","19.298798794","150.39.130.76","10.74.18.53","TCP","54","5059  >  80 [SYN] Seq=0 Win=512 Len=0"
"2213","19.308939418","35.29.122.139","10.74.18.53","TCP","54","5060  >  80 [SYN] Seq=0 Win=512 Len=0"
"2214","19.319080451","251.112.169.133","10.74.18.53","TCP","54","5061  >  80 [SYN] Seq=0 Win=512 Len=0"
"2215","19.329257883","228.89.203.182","10.74.18.53","TCP","54","5062  >  80 [SYN] Seq=0 Win=512 Len=0"
"2216","19.339453605","220.133.121.55","10.74.18.53","TCP","54","5063  >  80 [SYN] Seq=0 Win=512 Len=0"
"2217","19.343975485","UniversalGlo_b0:98:09","Broadcast","ARP","60","Who has 10.74.16.3? Tell 10.74.17.135"
"2218","19.348257727","10.74.17.135","224.0.0.252","LLMNR","66","Standard query 0x9412 ANY julian"
"2219","19.348258178","fe80::4fa1:f0ed:ed6c:45e0","ff02::1:3","LLMNR","86","Standard query 0x9412 ANY julian"
"2220","19.349657958","182.21.78.124","10.74.18.53","TCP","54","5064  >  80 [SYN] Seq=0 Win=512 Len=0"
"2221","19.359780853","253.57.93.90","10.74.18.53","TCP","54","5065  >  80 [SYN] Seq=0 Win=512 Len=0"
"2222","19.369958101","72.97.159.124","10.74.18.53","TCP","54","5066  >  80 [SYN] Seq=0 Win=512 Len=0"
"2223","19.380076770","209.102.182.182","10.74.18.53","TCP","54","5067  >  80 [SYN] Seq=0 Win=512 Len=0"
"2224","19.380918360","UniversalGlo_b0:98:09","Broadcast","ARP","60","Who has 10.74.17.135? (ARP Probe)"
"2225","19.387786156","::","ff02::1:ff6c:45e0","ICMPv6","78","Neighbor Solicitation for fe80::4fa1:f0ed:ed6c:45e0"
"2226","19.387786566","fe80::4fa1:f0ed:ed6c:45e0","ff02::2","ICMPv6","62","Router Solicitation"
"2227","19.390227524","fe80::4fa1:f0ed:ed6c:45e0","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"2228","19.390289737","150.97.39.23","10.74.18.53","TCP","54","5068  >  80 [SYN] Seq=0 Win=512 Len=0"
"2229","19.400460611","132.34.162.69","10.74.18.53","TCP","54","5069  >  80 [SYN] Seq=0 Win=512 Len=0"
"2230","19.410645785","125.80.3.109","10.74.18.53","TCP","54","5070  >  80 [SYN] Seq=0 Win=512 Len=0"
"2231","19.420871226","197.175.89.27","10.74.18.53","TCP","54","5071  >  80 [SYN] Seq=0 Win=512 Len=0"
"2232","19.431045585","121.102.5.1","10.74.18.53","TCP","54","5072  >  80 [SYN] Seq=0 Win=512 Len=0"
"2233","19.435241846","10.74.17.229","10.74.19.255","NBNS","92","Name query NB 074-VMFIC01<00>"
"2234","19.441226076","209.74.153.171","10.74.18.53","TCP","54","5073  >  80 [SYN] Seq=0 Win=512 Len=0"
"2235","19.451370038","140.47.31.102","10.74.18.53","TCP","54","5074  >  80 [SYN] Seq=0 Win=512 Len=0"
